video_id,compression,frame_idx,t_sec,R_mean,G_mean,B_mean,Y_mean,Y_std,fps,label
raw__videos__599,raw,0,0.0,195.7624053955078,121.9898681640625,111.67376708984375,136.9290771484375,14.61542797088623,30.0,Real
raw__videos__599,raw,1,0.03333333333333333,196.56263732910156,122.33785247802734,111.9514389038086,137.36814880371094,14.30607795715332,30.0,Real
raw__videos__599,raw,2,0.06666666666666667,196.404296875,122.21048736572266,111.89989471435547,137.23965454101562,14.569158554077148,30.0,Real
raw__videos__599,raw,3,0.1,197.1311798095703,122.7448959350586,112.36897277832031,137.81028747558594,14.535950660705566,30.0,Real
raw__videos__599,raw,4,0.13333333333333333,197.19900512695312,122.75871276855469,112.47843170166016,137.8424835205078,14.294929504394531,30.0,Real
raw__videos__599,raw,5,0.16666666666666666,197.111083984375,122.72258758544922,112.43885040283203,137.7950897216797,14.649895668029785,30.0,Real
raw__videos__599,raw,6,0.2,197.51686096191406,122.9356689453125,112.47811126708984,138.03659057617188,14.864656448364258,30.0,Real
raw__videos__599,raw,7,0.23333333333333334,198.19378662109375,123.07736206054688,112.77037048339844,138.30294799804688,14.303784370422363,30.0,Real
raw__videos__599,raw,8,0.26666666666666666,198.03225708007812,123.04547119140625,112.64945983886719,138.23707580566406,14.381742477416992,30.0,Real
raw__videos__599,raw,9,0.3,198.9925994873047,123.64722442626953,113.23086547851562,138.91357421875,13.772083282470703,30.0,Real
raw__videos__599,raw,10,0.3333333333333333,199.15780639648438,123.79415130615234,113.29073333740234,139.05812072753906,13.724258422851562,30.0,Real
raw__videos__599,raw,11,0.36666666666666664,198.485595703125,123.56182098388672,112.87799835205078,138.71923828125,14.134016990661621,30.0,Real
raw__videos__599,raw,12,0.4,197.59913635253906,123.15799713134766,112.62057495117188,138.223388671875,14.545854568481445,30.0,Real
raw__videos__599,raw,13,0.43333333333333335,198.19171142578125,123.29778289794922,112.72486114501953,138.45687866210938,14.537561416625977,30.0,Real
raw__videos__599,raw,14,0.4666666666666667,198.24806213378906,123.597412109375,113.01151275634766,138.70382690429688,14.565299987792969,30.0,Real
raw__videos__599,raw,15,0.5,198.3000030517578,123.4421615600586,112.89913940429688,138.59573364257812,14.550895690917969,30.0,Real
raw__videos__599,raw,16,0.5333333333333333,198.98770141601562,123.65396118164062,113.39360809326172,138.9291229248047,14.458062171936035,30.0,Real
raw__videos__599,raw,17,0.5666666666666667,199.56883239746094,123.81758880615234,113.7808609008789,139.19764709472656,13.91971206665039,30.0,Real
raw__videos__599,raw,18,0.6,199.30702209472656,123.73088836669922,113.80168914794922,139.08148193359375,14.289416313171387,30.0,Real
raw__videos__599,raw,19,0.6333333333333333,199.06658935546875,123.63130950927734,113.86444091796875,138.9636688232422,14.359086990356445,30.0,Real
raw__videos__599,raw,20,0.6666666666666666,197.52883911132812,122.3763656616211,112.84413146972656,137.66555786132812,14.960271835327148,30.0,Real
raw__videos__599,raw,21,0.7,195.1072540283203,121.1952133178711,111.66867065429688,136.22109985351562,15.947853088378906,30.0,Real
raw__videos__599,raw,22,0.7333333333333333,193.3961639404297,119.92767333984375,110.47974395751953,134.86492919921875,16.749128341674805,30.0,Real
raw__videos__599,raw,23,0.7666666666666667,192.4188232421875,118.9713363647461,109.45423126220703,133.89913940429688,16.137571334838867,30.0,Real
raw__videos__599,raw,24,0.8,192.5513153076172,119.0758285522461,109.3203125,133.99237060546875,16.01597785949707,30.0,Real
raw__videos__599,raw,25,0.8333333333333334,192.2811737060547,118.84290313720703,109.15154266357422,133.7561798095703,16.2199764251709,30.0,Real
raw__videos__599,raw,26,0.8666666666666667,192.65455627441406,118.95262908935547,109.32489013671875,133.92654418945312,15.89702033996582,30.0,Real
raw__videos__599,raw,27,0.9,192.9097900390625,119.20848846435547,109.59783935546875,134.18348693847656,15.650884628295898,30.0,Real
raw__videos__599,raw,28,0.9333333333333333,192.9010009765625,119.67438507080078,109.67237091064453,134.52023315429688,15.35142707824707,30.0,Real
raw__videos__599,raw,29,0.9666666666666667,191.58978271484375,118.88158416748047,109.07524871826172,133.63133239746094,16.279247283935547,30.0,Real
raw__videos__599,raw,30,1.0,192.58935546875,119.09294891357422,109.2889175415039,134.01043701171875,15.737454414367676,30.0,Real
raw__videos__599,raw,31,1.0333333333333334,193.14581298828125,119.24147033691406,109.4923095703125,134.24964904785156,15.698261260986328,30.0,Real
raw__videos__599,raw,32,1.0666666666666667,191.27615356445312,118.39865112304688,108.38017272949219,133.16908264160156,15.984644889831543,30.0,Real
raw__videos__599,raw,33,1.1,192.95169067382812,119.34698486328125,109.33610534667969,134.27255249023438,15.48952579498291,30.0,Real
raw__videos__599,raw,34,1.1333333333333333,193.98556518554688,119.79670715332031,109.81708526611328,134.84872436523438,14.976747512817383,30.0,Real
raw__videos__599,raw,35,1.1666666666666667,194.28077697753906,120.14462280273438,110.14779663085938,135.18418884277344,14.698952674865723,30.0,Real
raw__videos__599,raw,36,1.2,194.0277099609375,119.94123840332031,109.96488952636719,134.9717254638672,15.023635864257812,30.0,Real
raw__videos__599,raw,37,1.2333333333333334,193.9180450439453,119.66222381591797,109.71501922607422,134.73081970214844,15.237395286560059,30.0,Real
raw__videos__599,raw,38,1.2666666666666666,193.1176300048828,119.04887390136719,109.22885131835938,134.08688354492188,15.443840026855469,30.0,Real
raw__videos__599,raw,39,1.3,193.53720092773438,119.52088928222656,109.58203125,134.53916931152344,15.29997730255127,30.0,Real
raw__videos__599,raw,40,1.3333333333333333,193.1326904296875,119.26554870605469,109.29673767089844,134.2499542236328,15.232625007629395,30.0,Real
raw__videos__599,raw,41,1.3666666666666667,193.39239501953125,119.52850341796875,109.42228698730469,134.50230407714844,15.261110305786133,30.0,Real
raw__videos__599,raw,42,1.4,193.60638427734375,119.38668823242188,109.92005157470703,134.4822998046875,15.565133094787598,30.0,Real
raw__videos__599,raw,43,1.4333333333333333,191.83059692382812,118.79373168945312,108.5104751586914,133.57891845703125,16.40878677368164,30.0,Real
raw__videos__599,raw,44,1.4666666666666666,192.6587677001953,119.2398910522461,109.01348114013672,134.1103973388672,16.147748947143555,30.0,Real
raw__videos__599,raw,45,1.5,193.2819366455078,119.65739440917969,109.34529876708984,134.56544494628906,16.218097686767578,30.0,Real
raw__videos__599,raw,46,1.5333333333333334,193.7986602783203,119.9444808959961,109.65986633300781,134.9033203125,15.952982902526855,30.0,Real
raw__videos__599,raw,47,1.5666666666666667,194.12074279785156,120.20769500732422,109.90267181396484,135.17759704589844,15.98020076751709,30.0,Real
raw__videos__599,raw,48,1.6,193.4429168701172,119.8362808227539,109.38866424560547,134.73072814941406,16.346900939941406,30.0,Real
raw__videos__599,raw,49,1.6333333333333333,195.08074951171875,121.06350708007812,110.50725555419922,136.03741455078125,15.257065773010254,30.0,Real
raw__videos__599,raw,50,1.6666666666666667,195.78610229492188,121.46759796142578,110.81769561767578,136.49879455566406,14.849294662475586,30.0,Real
raw__videos__599,raw,51,1.7,196.23545837402344,121.70835876464844,110.84815979003906,136.76870727539062,14.851262092590332,30.0,Real
raw__videos__599,raw,52,1.7333333333333334,196.1467742919922,121.51954650878906,110.7821044921875,136.61004638671875,15.25363826751709,30.0,Real
raw__videos__599,raw,53,1.7666666666666666,195.34059143066406,120.84066772460938,110.38541412353516,135.92446899414062,15.790022850036621,30.0,Real
raw__videos__599,raw,54,1.8,196.4750213623047,121.67617797851562,110.74694061279297,136.78932189941406,15.11486530303955,30.0,Real
raw__videos__599,raw,55,1.8333333333333333,195.2532196044922,120.81640625,110.11299133300781,135.868896484375,16.055757522583008,30.0,Real
raw__videos__599,raw,56,1.8666666666666667,194.6901092529297,120.66022491455078,109.68036651611328,135.60623168945312,16.647335052490234,30.0,Real
raw__videos__599,raw,57,1.9,196.50631713867188,121.9728012084961,110.89985656738281,137.01914978027344,15.475086212158203,30.0,Real
raw__videos__599,raw,58,1.9333333333333333,197.89599609375,122.63494873046875,111.63433074951172,137.84120178222656,14.491584777832031,30.0,Real
raw__videos__599,raw,59,1.9666666666666666,197.8942413330078,122.86875915527344,111.92521667480469,138.029052734375,14.39062786102295,30.0,Real
raw__videos__599,raw,60,2.0,198.426025390625,123.1505126953125,112.15650939941406,138.3603057861328,14.176953315734863,30.0,Real
raw__videos__599,raw,61,2.033333333333333,198.1115264892578,122.72807312011719,111.84210205078125,137.9686279296875,14.721968650817871,30.0,Real
raw__videos__599,raw,62,2.066666666666667,198.89427185058594,123.19340515136719,112.4692153930664,138.51312255859375,14.159759521484375,30.0,Real
raw__videos__599,raw,63,2.1,198.1875,122.90836334228516,112.24357604980469,138.14271545410156,14.825765609741211,30.0,Real
raw__videos__599,raw,64,2.1333333333333333,198.75282287597656,123.2899398803711,112.64238739013672,138.56459045410156,14.525781631469727,30.0,Real
raw__videos__599,raw,65,2.1666666666666665,198.7625274658203,123.52287292480469,112.6416015625,138.73318481445312,14.39926528930664,30.0,Real
raw__videos__599,raw,66,2.2,200.2458038330078,124.51225280761719,113.55883026123047,139.82237243652344,13.466402053833008,30.0,Real
raw__videos__599,raw,67,2.2333333333333334,199.11927795410156,123.59461975097656,112.90924835205078,138.87966918945312,14.398642539978027,30.0,Real
raw__videos__599,raw,68,2.2666666666666666,198.8629913330078,123.47098541259766,112.6357192993164,138.71701049804688,14.56788158416748,30.0,Real
raw__videos__599,raw,69,2.3,199.51487731933594,123.92023468017578,112.87407684326172,139.19412231445312,14.222053527832031,30.0,Real
raw__videos__599,raw,70,2.3333333333333335,199.4866943359375,124.01954650878906,112.70812225341797,139.24717712402344,14.257820129394531,30.0,Real
raw__videos__599,raw,71,2.3666666666666667,199.18701171875,123.89089965820312,112.51943969726562,139.0778350830078,14.190210342407227,30.0,Real
raw__videos__599,raw,72,2.4,198.2236785888672,123.20018768310547,111.8734359741211,138.33238220214844,14.704902648925781,30.0,Real
raw__videos__599,raw,73,2.433333333333333,198.4179229736328,123.36842346191406,112.19454956054688,138.51719665527344,14.44150447845459,30.0,Real
raw__videos__599,raw,74,2.466666666666667,199.6624755859375,124.33929443359375,113.03223419189453,139.53663635253906,13.596717834472656,30.0,Real
raw__videos__599,raw,75,2.5,199.96083068847656,124.52578735351562,113.08042907714844,139.73692321777344,13.485280990600586,30.0,Real
raw__videos__599,raw,76,2.533333333333333,198.79244995117188,123.63674926757812,112.30748748779297,138.796875,14.355605125427246,30.0,Real
raw__videos__599,raw,77,2.566666666666667,199.47581481933594,123.98726654052734,112.491455078125,139.2061309814453,13.874229431152344,30.0,Real
raw__videos__599,raw,78,2.6,198.5960235595703,123.28305053710938,111.9412612915039,138.4757080078125,14.573205947875977,30.0,Real
raw__videos__599,raw,79,2.6333333333333333,199.62010192871094,123.9898910522461,112.87653350830078,139.2664794921875,13.522583961486816,30.0,Real
raw__videos__599,raw,80,2.6666666666666665,198.83792114257812,123.51197814941406,112.52469635009766,138.7329864501953,13.838284492492676,30.0,Real
raw__videos__599,raw,81,2.7,198.73336791992188,123.42546844482422,112.37281799316406,138.63792419433594,13.977550506591797,30.0,Real
raw__videos__599,raw,82,2.7333333333333334,199.1672821044922,123.70648193359375,112.54444122314453,138.94354248046875,13.783116340637207,30.0,Real
raw__videos__599,raw,83,2.7666666666666666,198.99172973632812,123.73744201660156,112.68351745605469,138.9384002685547,13.631031036376953,30.0,Real
raw__videos__599,raw,84,2.8,198.2888641357422,123.30441284179688,112.23880767822266,138.44717407226562,14.197336196899414,30.0,Real
raw__videos__599,raw,85,2.8333333333333335,197.63131713867188,122.9852523803711,111.88037872314453,138.05323791503906,14.545926094055176,30.0,Real
raw__videos__599,raw,86,2.8666666666666667,197.94216918945312,122.97808074951172,112.07073974609375,138.1279296875,14.505759239196777,30.0,Real
raw__videos__599,raw,87,2.9,197.8520050048828,122.92823791503906,112.26882934570312,138.08741760253906,14.544696807861328,30.0,Real
raw__videos__599,raw,88,2.933333333333333,197.94503784179688,123.31684875488281,112.24981689453125,138.38375854492188,14.023592948913574,30.0,Real
